word,count,rank
sergeant,221118,910
pleasure,220527,911
goddamn,220444,912
mary,220179,913
fell,219965,914
idiot,219842,915
hundred,219711,916
mark,219465,917
third,219407,918
area,219169,919
problems,218044,920
history,217999,921
killing,217768,922
fighting,217662,923
wearing,217647,924
sake,217619,925
space,217506,926
hungry,217242,927
sea,217128,928
ice,216322,929
rock,216211,930
tough,215736,931
star,215271,932
soul,214870,933
plane,214821,934
agent,214693,935
deep,214312,936
weird,214247,937
window,213708,938
standing,213552,939
respect,213358,940
saved,213285,941
forward,213231,942
ground,213214,943
agree,212663,944
missed,212346,945
offer,211452,946
using,211067,947
professor,210946,948
dress,210706,949
san,210641,950
proud,210371,951
broken,210225,952
position,209404,953
carry,208413,954
film,208058,955
single,207353,956
neither,206950,957
whether,206564,958
teach,206490,959
ought,206417,960
government,206340,961
dude,205676,962
cop,205616,963
record,205500,964
cops,205026,965
quit,204873,966
smell,204814,967
private,204813,968
difficult,204773,969
dare,204514,970
prove,204251,971
calls,203829,972
prison,203497,973
brain,203441,974
impossible,202909,975
apartment,202616,976
bar,202570,977
paul,202284,978
green,201893,979
definitely,201480,980
mess,201466,981
accept,201443,982
card,201341,983
field,201267,984
evil,200731,985
seat,200648,986
wall,200359,987
visit,199980,988
list,199836,989
thousand,199781,990
normal,199702,991
amazing,199656,992
drunk,199567,993
aah,199172,994
angry,198808,995
difference,198566,996
seconds,198154,997
scene,198089,998
realize,198028,999
peter,197970,1000
english,197858,1001
share,197787,1002
judge,197718,1003
honest,197361,1004
doubt,196288,1005
within,196028,1006
jail,195904,1007
double,195738,1008
orders,195633,1009
cry,195285,1010
park,194712,1011
public,194617,1012
nine,194498,1013
totally,193531,1014
appreciate,193388,1015
upset,193254,1016
speaking,193219,1017
group,192947,1018
dollars,192797,1019
store,192599,1020
madam,192284,1021
contact,192201,1022
la,191975,1023
fuckin,191970,1024
bob,191504,1025
foot,191434,1026
jim,191428,1027
ben,191365,1028
machine,191348,1029
south,189682,1030
favor,189395,1031
often,189249,1032
involved,189171,1033
joke,188632,1034
lived,188344,1035
christ,188258,1036
spent,187877,1037
cute,187799,1038
dying,187725,1039
yo,187714,1040
doc,187549,1041
upon,187209,1042
cross,187077,1043
especially,187020,1044
detective,186981,1045
likes,186635,1046
slow,186300,1047
promised,186222,1048
fat,186100,1049
one's,186071,1050
bloody,186014,1051
killer,185830,1052
jump,185263,1053
beginning,185188,1054
cash,185162,1055
liked,185087,1056
walking,185060,1057
tony,184734,1058
whose,184677,1059
duty,184564,1060
arrest,184487,1061
america,184391,1062
loves,184363,1063
bear,184327,1064
island,184161,1065
push,184135,1066
sad,184027,1067
radio,183783,1068
bother,183556,1069
driving,183499,1070
church,183339,1071
owe,182662,1072
moved,182336,1073
truck,182111,1074
college,182029,1075
north,181828,1076
lawyer,181600,1077
reach,181583,1078
congratulations,181362,1079
starting,181265,1080
commander,180581,1081
james,180497,1082
tree,180478,1083
aunt,180199,1084
board,180172,1085
enemy,180024,1086
village,179962,1087
river,179122,1088
ow,178431,1089
beer,178415,1090
de,178374,1091
french,178142,1092
arms,178042,1093
wine,177934,1094
art,177507,1095
dirty,177344,1096
holy,177342,1097
eating,177051,1098
dreams,176984,1099
bus,176844,1100
escape,176668,1101
immediately,176441,1102
l'm,176300,1103
wind,175851,1104
